Model: cnn, Batch_size: 128, Epochs: 40, Learning Rate: 0.01
Current device is cuda.
Epoch [1/40], Loss: 2.3278, Accuracy: 10.00%
Epoch [2/40], Loss: 2.3032, Accuracy: 10.00%
Epoch [3/40], Loss: 2.3033, Accuracy: 10.00%
Epoch [4/40], Loss: 2.3034, Accuracy: 10.00%
Epoch [5/40], Loss: 2.3034, Accuracy: 10.00%
Epoch [6/40], Loss: 2.3028, Accuracy: 10.00%
Epoch [7/40], Loss: 2.3027, Accuracy: 10.00%
Epoch [8/40], Loss: 2.3027, Accuracy: 10.00%
Epoch [9/40], Loss: 2.3027, Accuracy: 10.00%
Epoch [10/40], Loss: 2.3027, Accuracy: 10.00%
Epoch [11/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [12/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [13/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [14/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [15/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [16/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [17/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [18/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [19/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [20/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [21/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [22/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [23/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [24/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [25/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [26/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [27/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [28/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [29/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [30/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [31/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [32/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [33/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [34/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [35/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [36/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [37/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [38/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [39/40], Loss: 2.3026, Accuracy: 10.00%
Epoch [40/40], Loss: 2.3026, Accuracy: 10.00%
