Model: cnn, Batch_size: 128, Epochs: 40, Learning Rate: 0.0001
Current device is cuda.
Epoch [1/40], Loss: 1.8370, Accuracy: 43.13%
Epoch [2/40], Loss: 1.5650, Accuracy: 47.65%
Epoch [3/40], Loss: 1.4684, Accuracy: 52.76%
Epoch [4/40], Loss: 1.4025, Accuracy: 55.07%
Epoch [5/40], Loss: 1.3544, Accuracy: 56.37%
Epoch [6/40], Loss: 1.3077, Accuracy: 57.05%
Epoch [7/40], Loss: 1.3033, Accuracy: 57.19%
Epoch [8/40], Loss: 1.2979, Accuracy: 57.33%
Epoch [9/40], Loss: 1.2895, Accuracy: 58.00%
Epoch [10/40], Loss: 1.2855, Accuracy: 57.69%
Epoch [11/40], Loss: 1.2840, Accuracy: 57.94%
Epoch [12/40], Loss: 1.2797, Accuracy: 57.94%
Epoch [13/40], Loss: 1.2802, Accuracy: 58.05%
Epoch [14/40], Loss: 1.2812, Accuracy: 57.98%
Epoch [15/40], Loss: 1.2765, Accuracy: 58.03%
Epoch [16/40], Loss: 1.2799, Accuracy: 58.00%
Epoch [17/40], Loss: 1.2793, Accuracy: 58.05%
Epoch [18/40], Loss: 1.2795, Accuracy: 58.07%
Epoch [19/40], Loss: 1.2794, Accuracy: 58.03%
Epoch [20/40], Loss: 1.2804, Accuracy: 58.06%
Epoch [21/40], Loss: 1.2774, Accuracy: 58.06%
Epoch [22/40], Loss: 1.2798, Accuracy: 58.06%
Epoch [23/40], Loss: 1.2782, Accuracy: 58.07%
Epoch [24/40], Loss: 1.2754, Accuracy: 58.06%
Epoch [25/40], Loss: 1.2773, Accuracy: 58.07%
Epoch [26/40], Loss: 1.2757, Accuracy: 58.07%
Epoch [27/40], Loss: 1.2760, Accuracy: 58.07%
Epoch [28/40], Loss: 1.2783, Accuracy: 58.07%
Epoch [29/40], Loss: 1.2784, Accuracy: 58.07%
Epoch [30/40], Loss: 1.2762, Accuracy: 58.07%
Epoch [31/40], Loss: 1.2779, Accuracy: 58.07%
Epoch [32/40], Loss: 1.2767, Accuracy: 58.07%
Epoch [33/40], Loss: 1.2800, Accuracy: 58.07%
Epoch [34/40], Loss: 1.2772, Accuracy: 58.07%
Epoch [35/40], Loss: 1.2774, Accuracy: 58.07%
Epoch [36/40], Loss: 1.2791, Accuracy: 58.07%
Epoch [37/40], Loss: 1.2780, Accuracy: 58.07%
Epoch [38/40], Loss: 1.2752, Accuracy: 58.07%
Epoch [39/40], Loss: 1.2787, Accuracy: 58.07%
Epoch [40/40], Loss: 1.2774, Accuracy: 58.07%
